Filename,count
OHSU_TMA1_004_A1_cellRingMask.tif,23685
OHSU_TMA1_004_A1_nucleiRingMask.tif,23685
OHSU_TMA1_004_A10_cellRingMask.tif,9116
OHSU_TMA1_004_A10_nucleiRingMask.tif,9116
OHSU_TMA1_004_A11_cellRingMask.tif,12964
OHSU_TMA1_004_A11_nucleiRingMask.tif,12964
OHSU_TMA1_004_A2_cellRingMask.tif,3027
OHSU_TMA1_004_A2_nucleiRingMask.tif,3027
OHSU_TMA1_004_A3_cellRingMask.tif,14435
OHSU_TMA1_004_A3_nucleiRingMask.tif,14435
OHSU_TMA1_004_A4_cellRingMask.tif,15364
OHSU_TMA1_004_A4_nucleiRingMask.tif,15364
OHSU_TMA1_004_A5_cellRingMask.tif,18030
OHSU_TMA1_004_A5_nucleiRingMask.tif,18030
OHSU_TMA1_004_A6_cellRingMask.tif,4819
OHSU_TMA1_004_A6_nucleiRingMask.tif,4819
OHSU_TMA1_004_A7_cellRingMask.tif,13915
OHSU_TMA1_004_A7_nucleiRingMask.tif,13912
OHSU_TMA1_004_A8_cellRingMask.tif,14389
OHSU_TMA1_004_A8_nucleiRingMask.tif,14389
OHSU_TMA1_004_A9_cellRingMask.tif,892
OHSU_TMA1_004_A9_nucleiRingMask.tif,892
OHSU_TMA1_004_B1_cellRingMask.tif,6125
OHSU_TMA1_004_B1_nucleiRingMask.tif,6125
OHSU_TMA1_004_B10_cellRingMask.tif,6746
OHSU_TMA1_004_B10_nucleiRingMask.tif,6746
OHSU_TMA1_004_B11_cellRingMask.tif,13491
OHSU_TMA1_004_B11_nucleiRingMask.tif,13491
OHSU_TMA1_004_B2_cellRingMask.tif,1898
OHSU_TMA1_004_B2_nucleiRingMask.tif,1898
OHSU_TMA1_004_B3_cellRingMask.tif,13315
OHSU_TMA1_004_B3_nucleiRingMask.tif,13315
OHSU_TMA1_004_B4_cellRingMask.tif,10331
OHSU_TMA1_004_B4_nucleiRingMask.tif,10331
OHSU_TMA1_004_B5_cellRingMask.tif,5464
OHSU_TMA1_004_B5_nucleiRingMask.tif,5464
OHSU_TMA1_004_B6_cellRingMask.tif,17629
OHSU_TMA1_004_B6_nucleiRingMask.tif,17629
OHSU_TMA1_004_B7_cellRingMask.tif,9527
OHSU_TMA1_004_B7_nucleiRingMask.tif,9527
OHSU_TMA1_004_B8_cellRingMask.tif,219
OHSU_TMA1_004_B8_nucleiRingMask.tif,219
OHSU_TMA1_004_B9_cellRingMask.tif,6993
OHSU_TMA1_004_B9_nucleiRingMask.tif,6993
OHSU_TMA1_004_C1_cellRingMask.tif,3942
OHSU_TMA1_004_C1_nucleiRingMask.tif,3942
OHSU_TMA1_004_C10_cellRingMask.tif,15424
OHSU_TMA1_004_C10_nucleiRingMask.tif,15424
OHSU_TMA1_004_C11_cellRingMask.tif,3636
OHSU_TMA1_004_C11_nucleiRingMask.tif,3636
OHSU_TMA1_004_C2_cellRingMask.tif,9766
OHSU_TMA1_004_C2_nucleiRingMask.tif,9766
OHSU_TMA1_004_C3_cellRingMask.tif,4321
OHSU_TMA1_004_C3_nucleiRingMask.tif,4321
OHSU_TMA1_004_C4_cellRingMask.tif,3406
OHSU_TMA1_004_C4_nucleiRingMask.tif,3406
OHSU_TMA1_004_C5_cellRingMask.tif,12983
OHSU_TMA1_004_C5_nucleiRingMask.tif,12983
OHSU_TMA1_004_C6_cellRingMask.tif,1248
OHSU_TMA1_004_C6_nucleiRingMask.tif,1248
OHSU_TMA1_004_C7_cellRingMask.tif,9505
OHSU_TMA1_004_C7_nucleiRingMask.tif,9505
OHSU_TMA1_004_C8_cellRingMask.tif,5049
OHSU_TMA1_004_C8_nucleiRingMask.tif,5049
OHSU_TMA1_004_C9_cellRingMask.tif,22063
OHSU_TMA1_004_C9_nucleiRingMask.tif,22063
OHSU_TMA1_004_D1_cellRingMask.tif,7978
OHSU_TMA1_004_D1_nucleiRingMask.tif,7978
OHSU_TMA1_004_D10_cellRingMask.tif,4579
OHSU_TMA1_004_D10_nucleiRingMask.tif,4579
OHSU_TMA1_004_D11_cellRingMask.tif,3898
OHSU_TMA1_004_D11_nucleiRingMask.tif,3898
OHSU_TMA1_004_D2_cellRingMask.tif,8838
OHSU_TMA1_004_D2_nucleiRingMask.tif,8838
OHSU_TMA1_004_D3_cellRingMask.tif,10683
OHSU_TMA1_004_D3_nucleiRingMask.tif,10683
OHSU_TMA1_004_D4_cellRingMask.tif,13834
OHSU_TMA1_004_D4_nucleiRingMask.tif,13834
OHSU_TMA1_004_D5_cellRingMask.tif,2924
OHSU_TMA1_004_D5_nucleiRingMask.tif,2924
OHSU_TMA1_004_D6_cellRingMask.tif,7713
OHSU_TMA1_004_D6_nucleiRingMask.tif,7713
OHSU_TMA1_004_D7_cellRingMask.tif,18429
OHSU_TMA1_004_D7_nucleiRingMask.tif,18429
OHSU_TMA1_004_D8_cellRingMask.tif,2789
OHSU_TMA1_004_D8_nucleiRingMask.tif,2789
OHSU_TMA1_004_D9_cellRingMask.tif,2350
OHSU_TMA1_004_D9_nucleiRingMask.tif,2350
OHSU_TMA1_004_E1_cellRingMask.tif,30624
OHSU_TMA1_004_E1_nucleiRingMask.tif,30624
OHSU_TMA1_004_E10_cellRingMask.tif,11890
OHSU_TMA1_004_E10_nucleiRingMask.tif,11890
